genome	hoc	gene_count
AY17_ChrN	HOC030849	2
AY17_ChrN	HOC053197	1
AY17_ChrN	HOC076809	1
AY17_ChrN	HOC087040	1
AY17_ChrN	HOC087664	2
AY17_ChrN	HOC103744	1
AY17_ChrN	HOC118004	1
AY17_ChrN	HOC120239	1
AY17_ChrN	HOC120244	1
AY17_ChrN	HOC120871	1
AY17_ChrN	HOC121414	1
AY17_ChrN	HOC121813	1
AY17_ChrN	HOC148694	1
AY17_ChrN	HOC149819	1
AY17_ChrN	HOC150741	1
AY17_ChrN	HOC150933	1
AY17_ChrN	HOC150968	1
AY17_ChrN	HOC151029	1
AY17_ChrN	HOC250888	1
AY17_ChrN	HOC251252	1
AY17_ChrN	HOC251319	3
AY17_ChrN	HOC252410	1
AY17_ChrN	HOC252977	1
AY61_ChrN	HOC000359	8
AY61_ChrN	HOC000811	6
AY61_ChrN	HOC001177	1
AY61_ChrN	HOC001471	2
AY61_ChrN	HOC001516	2
AY61_ChrN	HOC003999	1
AY61_ChrN	HOC004266	1
AY61_ChrN	HOC005133	1
AY61_ChrN	HOC005252	1
AY61_ChrN	HOC005697	2
AY61_ChrN	HOC005795	1
AY61_ChrN	HOC006000	1
AY61_ChrN	HOC006100	1
AY61_ChrN	HOC006280	1
AY61_ChrN	HOC006786	1
AY61_ChrN	HOC008249	1
AY61_ChrN	HOC009473	2
AY61_ChrN	HOC010400	1
AY61_ChrN	HOC011076	1
AY61_ChrN	HOC012251	1
AY61_ChrN	HOC013366	1
AY61_ChrN	HOC013787	1
AY61_ChrN	HOC016423	1
AY61_ChrN	HOC016437	1
AY61_ChrN	HOC017870	2
AY61_ChrN	HOC023174	1
AY61_ChrN	HOC023932	1
AY61_ChrN	HOC029522	1
AY61_ChrN	HOC041236	1
AY61_ChrN	HOC044289	1
AY61_ChrN	HOC076809	1
AY61_ChrN	HOC086888	1
AY61_ChrN	HOC087040	1
AY61_ChrN	HOC094536	2
AY61_ChrN	HOC103622	1
AY61_ChrN	HOC117207	1
AY61_ChrN	HOC117368	1
AY61_ChrN	HOC119914	1
AY61_ChrN	HOC148694	1
AY61_ChrN	HOC245985	1
AY61_ChrN	HOC246376	1
AY61_ChrN	HOC246527	1
AY61_ChrN	HOC246692	1
AY61_ChrN	HOC246769	1
AY61_ChrN	HOC246771	1
AY61_ChrN	HOC247785	1
AY61_ChrN	HOC248194	1
Abic_chrN	HOC000359	4
Abic_chrN	HOC000811	1
Abic_chrN	HOC001177	1
Abic_chrN	HOC001471	2
Abic_chrN	HOC001516	2
Abic_chrN	HOC003999	1
Abic_chrN	HOC004266	1
Abic_chrN	HOC005133	1
Abic_chrN	HOC005252	1
Abic_chrN	HOC005697	1
Abic_chrN	HOC006000	1
Abic_chrN	HOC006100	1
Abic_chrN	HOC006280	1
Abic_chrN	HOC006786	1
Abic_chrN	HOC008249	1
Abic_chrN	HOC009473	1
Abic_chrN	HOC010400	1
Abic_chrN	HOC010694	1
Abic_chrN	HOC011644	1
Abic_chrN	HOC012251	1
Abic_chrN	HOC013366	1
Abic_chrN	HOC016423	1
Abic_chrN	HOC016437	1
Abic_chrN	HOC017870	1
Abic_chrN	HOC023151	1
Abic_chrN	HOC023174	1
Abic_chrN	HOC023424	1
Abic_chrN	HOC023932	1
Abic_chrN	HOC024871	1
Abic_chrN	HOC028147	1
Abic_chrN	HOC041236	1
Abic_chrN	HOC065978	2
Abic_chrN	HOC086357	1
Abic_chrN	HOC094536	1
Abic_chrN	HOC145072	1
Abic_chrN	HOC145401	1
Abic_chrN	HOC145560	1
Abic_chrN	HOC145823	1
Abic_chrN	HOC224192	1
Abic_chrN	HOC224200	1
Abic_chrN	HOC224400	1
Abic_chrN	HOC224520	1
Abic_chrN	HOC224566	1
Abic_chrN	HOC224786	1
Abic_chrN	HOC224919	1
Abic_chrN	HOC225191	1
Abic_chrN	HOC225536	1
Abic_chrN	HOC226107	1
Abic_chrN	HOC226209	1
Akashinriki_chrNH	HOC000359	4
Akashinriki_chrNH	HOC000811	4
Akashinriki_chrNH	HOC001177	2
Akashinriki_chrNH	HOC001471	2
Akashinriki_chrNH	HOC001516	1
Akashinriki_chrNH	HOC003999	1
Akashinriki_chrNH	HOC004266	1
Akashinriki_chrNH	HOC005133	1
Akashinriki_chrNH	HOC005252	1
Akashinriki_chrNH	HOC005697	1
Akashinriki_chrNH	HOC005795	1
Akashinriki_chrNH	HOC006000	1
Akashinriki_chrNH	HOC006100	1
Akashinriki_chrNH	HOC006280	1
Akashinriki_chrNH	HOC006786	1
Akashinriki_chrNH	HOC008249	1
Akashinriki_chrNH	HOC009473	1
Akashinriki_chrNH	HOC010400	1
Akashinriki_chrNH	HOC010694	1
Akashinriki_chrNH	HOC011076	1
Akashinriki_chrNH	HOC011644	1
Akashinriki_chrNH	HOC012251	1
Akashinriki_chrNH	HOC013366	1
Akashinriki_chrNH	HOC013787	1
Akashinriki_chrNH	HOC016423	1
Akashinriki_chrNH	HOC016437	1
Akashinriki_chrNH	HOC017870	1
Akashinriki_chrNH	HOC023653	4
Akashinriki_chrNH	HOC028147	1
Akashinriki_chrNH	HOC030090	1
Akashinriki_chrNH	HOC030270	1
Akashinriki_chrNH	HOC030518	1
Akashinriki_chrNH	HOC031817	1
Akashinriki_chrNH	HOC032770	1
Akashinriki_chrNH	HOC032771	1
Akashinriki_chrNH	HOC033072	1
Akashinriki_chrNH	HOC033738	1
Akashinriki_chrNH	HOC033970	1
Akashinriki_chrNH	HOC035086	1
Akashinriki_chrNH	HOC035193	1
Akashinriki_chrNH	HOC035495	1
Akashinriki_chrNH	HOC035675	1
Akashinriki_chrNH	HOC036238	1
Akashinriki_chrNH	HOC039872	1
Akashinriki_chrNH	HOC040009	1
Akashinriki_chrNH	HOC040196	1
Akashinriki_chrNH	HOC044641	1
Akashinriki_chrNH	HOC047654	1
Akashinriki_chrNH	HOC047826	2
Akashinriki_chrNH	HOC053197	1
Akashinriki_chrNH	HOC053292	1
Akashinriki_chrNH	HOC053304	1
Akashinriki_chrNH	HOC053639	1
Akashinriki_chrNH	HOC057167	2
Akashinriki_chrNH	HOC057250	2
Akashinriki_chrNH	HOC060969	1
Akashinriki_chrNH	HOC064328	1
Akashinriki_chrNH	HOC082514	1
Akashinriki_chrNH	HOC082614	1
Akashinriki_chrNH	HOC299135	1
Akashinriki_chrNH	HOC299625	1
Akashinriki_chrNH	HOC299634	1
Akashinriki_chrNH	HOC299768	1
Akashinriki_chrNH	HOC300191	1
Akashinriki_chrNH	HOC301399	1
Akashinriki_chrNH	HOC301485	1
AlonPJ_chrNS	HOC000359	5
AlonPJ_chrNS	HOC001471	2
AlonPJ_chrNS	HOC003999	1
AlonPJ_chrNS	HOC004266	1
AlonPJ_chrNS	HOC005133	1
AlonPJ_chrNS	HOC005252	1
AlonPJ_chrNS	HOC005697	1
AlonPJ_chrNS	HOC005795	1
AlonPJ_chrNS	HOC006000	1
AlonPJ_chrNS	HOC006100	1
AlonPJ_chrNS	HOC006280	1
AlonPJ_chrNS	HOC006786	1
AlonPJ_chrNS	HOC008249	1
AlonPJ_chrNS	HOC009473	1
AlonPJ_chrNS	HOC010400	1
AlonPJ_chrNS	HOC010694	1
AlonPJ_chrNS	HOC011076	1
AlonPJ_chrNS	HOC011644	1
AlonPJ_chrNS	HOC012251	1
AlonPJ_chrNS	HOC013787	1
AlonPJ_chrNS	HOC016423	1
AlonPJ_chrNS	HOC016437	1
AlonPJ_chrNS	HOC017870	1
AlonPJ_chrNS	HOC023151	1
AlonPJ_chrNS	HOC023424	1
AlonPJ_chrNS	HOC024871	1
AlonPJ_chrNS	HOC030518	1
AlonPJ_chrNS	HOC043920	2
AlonPJ_chrNS	HOC065978	2
AlonPJ_chrNS	HOC086357	1
AlonPJ_chrNS	HOC104101	1
AlonPJ_chrNS	HOC146811	1
AlonPJ_chrNS	HOC229119	1
AlonPJ_chrNS	HOC229364	2
Alon_chrN	HOC000359	3
Alon_chrN	HOC000811	4
Alon_chrN	HOC001177	5
Alon_chrN	HOC001471	1
Alon_chrN	HOC001516	2
Alon_chrN	HOC003999	1
Alon_chrN	HOC005133	1
Alon_chrN	HOC005252	1
Alon_chrN	HOC005697	1
Alon_chrN	HOC005795	1
Alon_chrN	HOC006000	1
Alon_chrN	HOC006100	1
Alon_chrN	HOC006280	1
Alon_chrN	HOC006786	1
Alon_chrN	HOC008249	1
Alon_chrN	HOC009473	1
Alon_chrN	HOC010400	1
Alon_chrN	HOC010694	1
Alon_chrN	HOC011076	1
Alon_chrN	HOC011644	1
Alon_chrN	HOC012251	1
Alon_chrN	HOC013787	1
Alon_chrN	HOC016423	1
Alon_chrN	HOC016437	1
Alon_chrN	HOC017870	1
Alon_chrN	HOC023151	2
Alon_chrN	HOC023174	1
Alon_chrN	HOC023293	1
Alon_chrN	HOC024871	1
Alon_chrN	HOC041236	1
Alon_chrN	HOC053197	1
Alon_chrN	HOC065978	2
Alon_chrN	HOC093431	1
Alon_chrN	HOC094536	1
Alon_chrN	HOC104101	1
Alon_chrN	HOC117762	1
Alon_chrN	HOC146674	1
Alon_chrN	HOC226853	1
Alon_chrN	HOC227425	1
Alon_chrN	HOC228508	1
Alon_chrN	HOC228759	1
Asea_chrN	HOC000359	5
Asea_chrN	HOC000811	4
Asea_chrN	HOC001177	2
Asea_chrN	HOC001471	2
Asea_chrN	HOC001516	2
Asea_chrN	HOC003999	1
Asea_chrN	HOC004266	1
Asea_chrN	HOC005133	1
Asea_chrN	HOC005252	1
Asea_chrN	HOC005697	1
Asea_chrN	HOC005795	1
Asea_chrN	HOC006000	1
Asea_chrN	HOC006100	1
Asea_chrN	HOC006280	1
Asea_chrN	HOC006786	1
Asea_chrN	HOC008249	1
Asea_chrN	HOC009473	1
Asea_chrN	HOC010400	1
Asea_chrN	HOC010694	1
Asea_chrN	HOC011076	1
Asea_chrN	HOC011644	1
Asea_chrN	HOC012251	1
Asea_chrN	HOC013366	1
Asea_chrN	HOC016423	1
Asea_chrN	HOC016437	1
Asea_chrN	HOC023174	1
Asea_chrN	HOC023293	1
Asea_chrN	HOC023424	1
Asea_chrN	HOC023932	1
Asea_chrN	HOC024871	1
Asea_chrN	HOC028147	1
Asea_chrN	HOC041236	1
Asea_chrN	HOC053197	1
Asea_chrN	HOC094536	1
Asea_chrN	HOC145401	1
Asea_chrN	HOC229775	1
Asea_chrN	HOC230245	1
Asea_chrN	HOC230887	1
Asea_chrN	HOC231374	1
Asea_chrN	HOC231572	1
Asea_chrN	HOC231605	1
Asea_chrN	HOC232178	1
Asea_chrN	HOC232215	1
Asea_chrN	HOC232914	1
Asea_chrN	HOC233072	1
AshaPJ_chrNS	HOC000359	5
AshaPJ_chrNS	HOC000811	4
AshaPJ_chrNS	HOC001471	2
AshaPJ_chrNS	HOC001516	1
AshaPJ_chrNS	HOC003999	1
AshaPJ_chrNS	HOC004266	1
AshaPJ_chrNS	HOC005133	1
AshaPJ_chrNS	HOC005252	1
AshaPJ_chrNS	HOC005697	1
AshaPJ_chrNS	HOC005795	1
AshaPJ_chrNS	HOC006000	1
AshaPJ_chrNS	HOC006100	1
AshaPJ_chrNS	HOC006280	1
AshaPJ_chrNS	HOC006786	1
AshaPJ_chrNS	HOC008249	1
AshaPJ_chrNS	HOC009473	1
AshaPJ_chrNS	HOC010400	1
AshaPJ_chrNS	HOC010694	1
AshaPJ_chrNS	HOC011076	1
AshaPJ_chrNS	HOC011644	1
AshaPJ_chrNS	HOC012251	1
AshaPJ_chrNS	HOC013366	1
AshaPJ_chrNS	HOC013787	1
AshaPJ_chrNS	HOC016437	1
AshaPJ_chrNS	HOC017870	1
AshaPJ_chrNS	HOC023151	1
AshaPJ_chrNS	HOC023293	1
AshaPJ_chrNS	HOC023424	1
AshaPJ_chrNS	HOC024871	1
AshaPJ_chrNS	HOC053292	1
AshaPJ_chrNS	HOC065978	1
AshaPJ_chrNS	HOC086357	1
AshaPJ_chrNS	HOC104101	1
AshaPJ_chrNS	HOC145823	1
AshaPJ_chrNS	HOC146811	1
AshaPJ_chrNS	HOC147725	1
AshaPJ_chrNS	HOC236650	1
AshaPJ_chrNS	HOC236701	1
AshaPJ_chrNS	HOC236749	1
Asha_chrN	HOC000359	5
Asha_chrN	HOC000811	4
Asha_chrN	HOC001177	3
Asha_chrN	HOC001471	1
Asha_chrN	HOC001516	2
Asha_chrN	HOC003999	1
Asha_chrN	HOC004266	1
Asha_chrN	HOC005133	1
Asha_chrN	HOC005252	1
Asha_chrN	HOC005697	1
Asha_chrN	HOC006000	1
Asha_chrN	HOC006100	1
Asha_chrN	HOC006280	1
Asha_chrN	HOC006786	1
Asha_chrN	HOC008249	1
Asha_chrN	HOC009473	1
Asha_chrN	HOC010400	1
Asha_chrN	HOC010694	1
Asha_chrN	HOC011076	1
Asha_chrN	HOC011644	1
Asha_chrN	HOC012251	1
Asha_chrN	HOC013366	1
Asha_chrN	HOC016423	1
Asha_chrN	HOC016437	1
Asha_chrN	HOC023151	1
Asha_chrN	HOC023174	1
Asha_chrN	HOC023293	1
Asha_chrN	HOC023424	1
Asha_chrN	HOC029522	1
Asha_chrN	HOC041236	1
Asha_chrN	HOC047465	1
Asha_chrN	HOC065978	2
Asha_chrN	HOC086357	1
Asha_chrN	HOC093431	1
Asha_chrN	HOC145072	1
Asha_chrN	HOC145560	1
Asha_chrN	HOC146674	1
Asha_chrN	HOC147725	1
Asha_chrN	HOC233559	1
Asha_chrN	HOC233619	1
Asha_chrN	HOC233975	1
Asha_chrN	HOC234098	1
Asha_chrN	HOC234103	1
Asha_chrN	HOC234426	1
Asha_chrN	HOC234427	1
AspePJ_chrNB	HOC000359	5
AspePJ_chrNB	HOC000811	4
AspePJ_chrNB	HOC001471	2
AspePJ_chrNB	HOC001516	1
AspePJ_chrNB	HOC003999	1
AspePJ_chrNB	HOC004266	1
AspePJ_chrNB	HOC005133	1
AspePJ_chrNB	HOC005252	1
AspePJ_chrNB	HOC005697	1
AspePJ_chrNB	HOC005795	1
AspePJ_chrNB	HOC006000	1
AspePJ_chrNB	HOC006100	1
AspePJ_chrNB	HOC006280	1
AspePJ_chrNB	HOC006786	1
AspePJ_chrNB	HOC008249	1
AspePJ_chrNB	HOC010400	2
AspePJ_chrNB	HOC010694	1
AspePJ_chrNB	HOC011076	1
AspePJ_chrNB	HOC011644	1
AspePJ_chrNB	HOC012251	3
AspePJ_chrNB	HOC013787	1
AspePJ_chrNB	HOC016423	1
AspePJ_chrNB	HOC016437	1
AspePJ_chrNB	HOC017870	1
AspePJ_chrNB	HOC023174	1
AspePJ_chrNB	HOC023293	2
AspePJ_chrNB	HOC023424	3
AspePJ_chrNB	HOC023932	1
AspePJ_chrNB	HOC086888	1
AspePJ_chrNB	HOC104101	1
AspePJ_chrNB	HOC222077	1
AspePJ_chrNB	HOC222128	1
Aspe_chrN	HOC000359	5
Aspe_chrN	HOC000811	4
Aspe_chrN	HOC001177	5
Aspe_chrN	HOC001471	2
Aspe_chrN	HOC003999	1
Aspe_chrN	HOC004266	1
Aspe_chrN	HOC005133	1
Aspe_chrN	HOC005252	1
Aspe_chrN	HOC005697	1
Aspe_chrN	HOC005795	1
Aspe_chrN	HOC006000	1
Aspe_chrN	HOC006100	1
Aspe_chrN	HOC006280	1
Aspe_chrN	HOC006786	1
Aspe_chrN	HOC008249	1
Aspe_chrN	HOC009473	1
Aspe_chrN	HOC010400	1
Aspe_chrN	HOC010694	1
Aspe_chrN	HOC011076	1
Aspe_chrN	HOC011644	1
Aspe_chrN	HOC012251	1
Aspe_chrN	HOC013366	1
Aspe_chrN	HOC013787	1
Aspe_chrN	HOC016423	1
Aspe_chrN	HOC016437	1
Aspe_chrN	HOC017870	1
Aspe_chrN	HOC023174	1
Aspe_chrN	HOC023424	3
Aspe_chrN	HOC023932	1
Aspe_chrN	HOC024871	1
Aspe_chrN	HOC024995	1
Aspe_chrN	HOC041236	1
Aspe_chrN	HOC119610	1
Aspe_chrN	HOC148108	2
Aspe_chrN	HOC148163	1
Aspe_chrN	HOC148240	1
Aspe_chrN	HOC237495	1
Aspe_chrN	HOC237563	1
Aspe_chrN	HOC237721	1
Aspe_chrN	HOC237738	1
Aspe_chrN	HOC237756	1
Aspe_chrN	HOC237989	1
Aspe_chrN	HOC238218	1
Aspe_chrN	HOC238434	1
Aspe_chrN	HOC238449	1
Aspe_chrN	HOC238454	1
Aspe_chrN	HOC238498	1
Aspe_chrN	HOC238515	1
Aspe_chrN	HOC239161	1
B1K0412_chrNH	HOC000359	4
B1K0412_chrNH	HOC000811	3
B1K0412_chrNH	HOC001177	2
B1K0412_chrNH	HOC001471	2
B1K0412_chrNH	HOC001516	1
B1K0412_chrNH	HOC003999	1
B1K0412_chrNH	HOC004266	1
B1K0412_chrNH	HOC005133	1
B1K0412_chrNH	HOC005252	1
B1K0412_chrNH	HOC005697	1
B1K0412_chrNH	HOC005795	1
B1K0412_chrNH	HOC006100	1
B1K0412_chrNH	HOC006280	1
B1K0412_chrNH	HOC006786	1
B1K0412_chrNH	HOC008249	1
B1K0412_chrNH	HOC009473	1
B1K0412_chrNH	HOC010694	1
B1K0412_chrNH	HOC011076	1
B1K0412_chrNH	HOC011644	1
B1K0412_chrNH	HOC012251	1
B1K0412_chrNH	HOC013366	1
B1K0412_chrNH	HOC013787	1
B1K0412_chrNH	HOC016423	1
B1K0412_chrNH	HOC016437	1
B1K0412_chrNH	HOC017870	1
B1K0412_chrNH	HOC023653	3
B1K0412_chrNH	HOC028147	2
B1K0412_chrNH	HOC030270	1
B1K0412_chrNH	HOC032770	1
B1K0412_chrNH	HOC032771	1
B1K0412_chrNH	HOC033072	1
B1K0412_chrNH	HOC033738	1
B1K0412_chrNH	HOC033970	2
B1K0412_chrNH	HOC035086	1
B1K0412_chrNH	HOC035193	1
B1K0412_chrNH	HOC035495	1
B1K0412_chrNH	HOC036238	1
B1K0412_chrNH	HOC038588	1
B1K0412_chrNH	HOC039872	1
B1K0412_chrNH	HOC040196	1
B1K0412_chrNH	HOC044641	1
B1K0412_chrNH	HOC047465	1
B1K0412_chrNH	HOC047654	1
B1K0412_chrNH	HOC047826	2
B1K0412_chrNH	HOC047909	1
B1K0412_chrNH	HOC050858	1
B1K0412_chrNH	HOC050878	1
B1K0412_chrNH	HOC053304	1
B1K0412_chrNH	HOC053639	1
B1K0412_chrNH	HOC060969	1
B1K0412_chrNH	HOC082793	1
B1K0412_chrNH	HOC122953	1
B1K0412_chrNH	HOC301951	1
B1K0412_chrNH	HOC302365	1
B1K0412_chrNH	HOC302720	1
B1K0412_chrNH	HOC304108	1
B1K0412_chrNH	HOC304138	1
B1K0412_chrNH	HOC304712	1
B1K0412_chrNH	HOC305817	1
Barke_chrNH	HOC000359	4
Barke_chrNH	HOC000811	3
Barke_chrNH	HOC001177	2
Barke_chrNH	HOC001471	2
Barke_chrNH	HOC001516	1
Barke_chrNH	HOC003999	1
Barke_chrNH	HOC004266	1
Barke_chrNH	HOC005133	1
Barke_chrNH	HOC005252	1
Barke_chrNH	HOC005697	1
Barke_chrNH	HOC005795	1
Barke_chrNH	HOC006000	1
Barke_chrNH	HOC006100	1
Barke_chrNH	HOC006280	1
Barke_chrNH	HOC006786	1
Barke_chrNH	HOC008249	1
Barke_chrNH	HOC009473	1
Barke_chrNH	HOC010400	1
Barke_chrNH	HOC010694	1
Barke_chrNH	HOC011076	1
Barke_chrNH	HOC011644	1
Barke_chrNH	HOC012251	2
Barke_chrNH	HOC013366	1
Barke_chrNH	HOC013787	1
Barke_chrNH	HOC016423	1
Barke_chrNH	HOC016437	1
Barke_chrNH	HOC017870	1
Barke_chrNH	HOC023653	5
Barke_chrNH	HOC028147	1
Barke_chrNH	HOC030090	1
Barke_chrNH	HOC030270	1
Barke_chrNH	HOC030518	1
Barke_chrNH	HOC031817	1
Barke_chrNH	HOC032770	1
Barke_chrNH	HOC032771	1
Barke_chrNH	HOC033072	1
Barke_chrNH	HOC033738	1
Barke_chrNH	HOC033970	1
Barke_chrNH	HOC035086	1
Barke_chrNH	HOC035193	1
Barke_chrNH	HOC035495	1
Barke_chrNH	HOC035675	1
Barke_chrNH	HOC036238	1
Barke_chrNH	HOC038588	1
Barke_chrNH	HOC039872	1
Barke_chrNH	HOC040009	1
Barke_chrNH	HOC040196	1
Barke_chrNH	HOC044641	2
Barke_chrNH	HOC047909	1
Barke_chrNH	HOC050858	1
Barke_chrNH	HOC050878	1
Barke_chrNH	HOC053292	1
Barke_chrNH	HOC057167	2
Barke_chrNH	HOC060969	1
Barke_chrNH	HOC061248	1
Barke_chrNH	HOC066828	1
Barke_chrNH	HOC081095	1
Barke_chrNH	HOC082808	1
Barke_chrNH	HOC306183	1
Barke_chrNH	HOC306402	1
Barke_chrNH	HOC307131	1
Barke_chrNH	HOC307725	1
Barke_chrNH	HOC308512	1
CN1_ChrN	HOC000359	3
CN1_ChrN	HOC001471	2
CN1_ChrN	HOC001516	1
CN1_ChrN	HOC003999	1
CN1_ChrN	HOC004266	1
CN1_ChrN	HOC005133	1
CN1_ChrN	HOC005252	1
CN1_ChrN	HOC005697	1
CN1_ChrN	HOC005795	1
CN1_ChrN	HOC006000	1
CN1_ChrN	HOC006100	1
CN1_ChrN	HOC006280	1
CN1_ChrN	HOC006786	1
CN1_ChrN	HOC008249	1
CN1_ChrN	HOC010694	1
CN1_ChrN	HOC011076	1
CN1_ChrN	HOC011644	1
CN1_ChrN	HOC013366	1
CN1_ChrN	HOC013787	2
CN1_ChrN	HOC027466	1
CN1_ChrN	HOC038613	2
CN1_ChrN	HOC040537	4
CN1_ChrN	HOC051210	2
CN1_ChrN	HOC054011	1
CN1_ChrN	HOC054324	1
CN1_ChrN	HOC057958	1
CN1_ChrN	HOC061766	1
CN1_ChrN	HOC062418	1
CN1_ChrN	HOC062738	1
CN1_ChrN	HOC066231	1
CN1_ChrN	HOC067892	1
CN1_ChrN	HOC068633	1
CN1_ChrN	HOC069554	2
CN1_ChrN	HOC078873	1
CN1_ChrN	HOC083752	1
CN1_ChrN	HOC088920	1
CN1_ChrN	HOC089333	1
CN1_ChrN	HOC089604	1
CN1_ChrN	HOC090174	1
CN1_ChrN	HOC090315	1
CN1_ChrN	HOC096612	1
CN1_ChrN	HOC096918	1
CN1_ChrN	HOC097876	1
CN1_ChrN	HOC097900	1
CN1_ChrN	HOC107747	1
CN1_ChrN	HOC108106	1
CN1_ChrN	HOC124872	1
CN1_ChrN	HOC125535	1
CN1_ChrN	HOC126587	1
CN1_ChrN	HOC158775	1
CN1_ChrN	HOC159368	1
CN1_ChrN	HOC159445	1
CN1_ChrN	HOC160248	1
CN1_ChrN	HOC160364	1
CN1_ChrN	HOC388033	1
CN1_ChrN	HOC388708	1
CN1_ChrN	HOC389537	1
CN1_ChrN	HOC390138	1
CN1_ChrN	HOC390145	1
CN1_ChrN	HOC390205	1
CN1_ChrN	HOC390753	1
DHX2_ChrN	HOC000359	3
DHX2_ChrN	HOC001471	2
DHX2_ChrN	HOC001516	1
DHX2_ChrN	HOC003999	1
DHX2_ChrN	HOC004266	1
DHX2_ChrN	HOC005133	1
DHX2_ChrN	HOC005252	1
DHX2_ChrN	HOC005697	1
DHX2_ChrN	HOC005795	1
DHX2_ChrN	HOC006000	1
DHX2_ChrN	HOC006100	1
DHX2_ChrN	HOC006280	1
DHX2_ChrN	HOC006786	1
DHX2_ChrN	HOC008249	1
DHX2_ChrN	HOC010400	1
DHX2_ChrN	HOC010694	1
DHX2_ChrN	HOC011076	1
DHX2_ChrN	HOC011644	1
DHX2_ChrN	HOC013366	1
DHX2_ChrN	HOC013787	1
DHX2_ChrN	HOC027466	1
DHX2_ChrN	HOC038613	2
DHX2_ChrN	HOC040537	3
DHX2_ChrN	HOC051210	2
DHX2_ChrN	HOC054011	1
DHX2_ChrN	HOC054324	1
DHX2_ChrN	HOC057958	1
DHX2_ChrN	HOC061766	1
DHX2_ChrN	HOC062418	1
DHX2_ChrN	HOC062738	2
DHX2_ChrN	HOC066231	1
DHX2_ChrN	HOC067892	1
DHX2_ChrN	HOC068633	1
DHX2_ChrN	HOC069554	2
DHX2_ChrN	HOC078139	1
DHX2_ChrN	HOC078873	1
DHX2_ChrN	HOC083752	1
DHX2_ChrN	HOC088714	1
DHX2_ChrN	HOC089333	1
DHX2_ChrN	HOC089604	1
DHX2_ChrN	HOC090174	1
DHX2_ChrN	HOC090315	1
DHX2_ChrN	HOC096047	1
DHX2_ChrN	HOC096612	1
DHX2_ChrN	HOC096918	1
DHX2_ChrN	HOC097900	1
DHX2_ChrN	HOC098255	1
DHX2_ChrN	HOC098414	1
DHX2_ChrN	HOC108622	1
DHX2_ChrN	HOC109058	1
DHX2_ChrN	HOC109227	1
DHX2_ChrN	HOC126794	1
